Name,Sector,Years of Operation,What They Did,How Much They Raised,Why They Failed,Takeaway,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype
Olive,Health Care,2012-2023,AI healthcare automation,$856M,Downturn and mismanagement,Adapt to shifts,-1.143543749793731,1.2683436648534625,-1.1832159566199232,-0.9354143466934853,-0.44721359549995787,0.0,-0.6546536707079771,-0.3634218921558155,1.6583123951777,3.3166247903553994,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
Omada Health,Health Care,2011-2016,Diabetes prevention (early),$550M,Slow payer adoption and pivot,Payers drive success,-1.143543749793731,-0.78842984571972,-1.1832159566199232,1.0690449676496976,-0.44721359549995787,0.0,1.5275252316519465,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
Outset Medical,Health Care,2010-2015,Portable dialysis (early),$200M,Production snags and competition,Flawless execution needed,0.8744746321952062,1.2683436648534625,0.8451542547285164,-0.9354143466934853,-0.44721359549995787,0.0,-0.6546536707079771,-0.3634218921558155,1.6583123951777,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
Pear Therapeutics,Health Care,2013-2023,Digital therapeutics,$409M,Reimbursement woes,Therapeutics need economics,0.8744746321952062,-0.78842984571972,0.8451542547285164,1.0690449676496976,-0.44721359549995787,0.0,1.5275252316519465,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
PillPack,Health Care,2013-2018,Pre-sorted meds delivery,$118M,Profitability woes and sold,Scale or get gobbled,-1.143543749793731,-0.78842984571972,-1.1832159566199232,-0.9354143466934853,2.2360679774997894,0.0,1.5275252316519465,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
Proteus Digital Health,Health Care,2004-2020,Ingestible sensors,$500M,Failed partnership and costs,Don’t bet on one partner,-1.143543749793731,1.2683436648534625,-1.1832159566199232,-0.9354143466934853,-0.44721359549995787,0.0,-0.6546536707079771,-0.3634218921558155,1.6583123951777,-0.3015113445777636,-0.30151134457776363,3.3166247903553994,-0.30151134457776363
Quit Genius,Health Care,2017-2023,Quit smoking app,$77M,Low retention and adoption,Stickiness beyond novelty,-1.143543749793731,-0.78842984571972,-1.1832159566199232,1.0690449676496976,-0.44721359549995787,0.0,1.5275252316519465,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
Scanadu,Health Care,2012-2016,Home vitals device,$35M,Regulatory delays and competition,Speed to market matters,0.8744746321952062,-0.78842984571972,0.8451542547285164,-0.9354143466934853,-0.44721359549995787,0.0,-0.6546536707079771,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,3.3166247903553994,-0.30151134457776363
Sherpaa,Health Care,2012-2019,Virtual primary care,$22M,Slow uptake and sold,Big clients fast,0.8744746321952062,-0.78842984571972,0.8451542547285164,1.0690449676496976,2.2360679774997894,0.0,-0.6546536707079771,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
Sprig,Health Care,2013-2017,Healthy meal delivery,$56M,High costs and competition,Need cost advantage,0.8744746321952062,1.2683436648534625,0.8451542547285164,-0.9354143466934853,-0.44721359549995787,0.0,-0.6546536707079771,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
StethoCloud,Health Care,2012-2015,Digital stethoscope,$1.5M,Distribution and funding,Mission needs business model,-1.143543749793731,1.2683436648534625,-1.1832159566199232,1.0690449676496976,-0.44721359549995787,0.0,-0.6546536707079771,2.7516228977511745,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
Theranos,Health Care,2003-2018,Blood testing tech,$1.4B,Fraud and tech didn’t work,Transparency is key,-1.143543749793731,-0.78842984571972,-1.1832159566199232,-0.9354143466934853,-0.44721359549995787,0.0,-0.6546536707079771,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,3.3166247903554,-0.3015113445777636,3.3166247903554
Tinnitracks,Health Care,2013-2020,Tinnitus treatment app,$6M,Limited proof and market,Evidence matters,0.8744746321952062,-0.78842984571972,0.8451542547285164,1.0690449676496976,-0.44721359549995787,0.0,-0.6546536707079771,2.7516228977511745,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
uBiome,Health Care,2012-2019,Microbiome testing,$105M,Fraudulent billing,Ethics are non-negotiable,-1.143543749793731,-0.78842984571972,-1.1832159566199232,-0.9354143466934853,-0.44721359549995787,0.0,-0.6546536707079771,-0.3634218921558155,-0.6030226891555271,-0.3015113445777636,3.3166247903554,-0.3015113445777636,-0.30151134457776363
Zeo,Health Care,2008-2013,Sleep tracking headband,$30M,Competition and no viable model,Broad appeal needed,0.8744746321952062,-0.78842984571972,0.8451542547285164,1.0690449676496976,-0.44721359549995787,0.0,1.5275252316519465,2.7516228977511745,-0.6030226891555271,-0.3015113445777636,-0.30151134457776363,-0.3015113445777636,-0.30151134457776363
